timestamp,symbol,source,sentiment_label,sentiment_score
2026-05-03T15:09:15Z,TAO,social,Hoàn toàn tích cực,5.6100
2026-05-03T15:09:15Z,TAO,funding,Hoàn toàn tích cực,5.0600
2026-05-03T15:09:16Z,SHIB,news,Tiêu cực,7.3788
2026-05-03T15:09:16Z,SHIB,macro,Tiêu cực,6.4900
2026-05-03T15:09:16Z,SHIB,social,Tiêu cực,0.8900
2026-05-03T15:09:18Z,MEGA,news,Tích cực,8.3025
2026-05-03T15:09:18Z,MEGA,macro,Tích cực,6.4900
2026-05-03T15:09:18Z,MEGA,social,Tích cực,5.6100
2026-05-03T15:09:18Z,MEGA,funding,Tích cực,1.8500
2026-05-03T15:09:21Z,ZEC,news,Tích cực,6.1800
2026-05-03T15:09:21Z,ZEC,macro,Tích cực,6.4900
2026-05-03T15:09:21Z,ZEC,social,Tích cực,5.6100
2026-05-03T15:09:21Z,ZEC,funding,Tích cực,4.9200
2026-05-03T15:09:24Z,ORDI,news,Tích cực,6.5642
2026-05-03T15:09:24Z,ORDI,macro,Tích cực,6.4900
2026-05-03T15:09:24Z,ORDI,social,Tích cực,5.6100
2026-05-03T15:09:24Z,ORDI,funding,Tích cực,5.1200
2026-05-03T15:09:26Z,LUNC,news,Tích cực,9.9000
2026-05-03T15:09:26Z,LUNC,macro,Tích cực,6.4900
2026-05-03T15:09:26Z,LUNC,social,Tích cực,5.6100
2026-05-03T15:09:29Z,FDUSD,macro,Tiêu cực,6.4900
2026-05-03T15:09:29Z,FDUSD,social,Tiêu cực,5.6100
2026-05-03T15:09:31Z,PEPE,news,Bình thường,7.4100
2026-05-03T15:09:31Z,PEPE,macro,Bình thường,6.4900
2026-05-03T15:09:31Z,PEPE,social,Bình thường,5.6100
2026-05-03T15:09:33Z,TST,macro,Tiêu cực,6.4900
2026-05-03T15:09:33Z,TST,social,Tiêu cực,5.6100
2026-05-03T15:09:33Z,TST,funding,Tiêu cực,5.1100
2026-05-03T15:09:36Z,PENGU,macro,Tiêu cực,6.4900
2026-05-03T15:09:36Z,PENGU,social,Tiêu cực,5.6100
2026-05-03T15:09:36Z,PENGU,funding,Tiêu cực,5.1200
2026-05-03T15:09:39Z,ASTER,news,Tích cực,5.9550
2026-05-03T15:09:39Z,ASTER,macro,Tích cực,6.4900
2026-05-03T15:09:39Z,ASTER,social,Tích cực,5.6100
2026-05-03T15:09:39Z,ASTER,funding,Tích cực,5.1200
2026-05-03T15:09:41Z,PARTI,macro,Tiêu cực,6.4900
2026-05-03T15:09:41Z,PARTI,social,Tiêu cực,5.6100
2026-05-03T15:09:41Z,PARTI,funding,Tiêu cực,3.8100
2026-05-03T15:09:44Z,ORCA,macro,Tiêu cực,6.4900
2026-05-03T15:09:44Z,ORCA,social,Tiêu cực,5.6100
2026-05-03T15:09:44Z,ORCA,funding,Tiêu cực,3.4800
2026-05-03T15:09:46Z,ADA,news,Tích cực,5.7300
2026-05-03T15:09:46Z,ADA,macro,Tích cực,6.4900
2026-05-03T15:09:46Z,ADA,social,Tích cực,5.6100
2026-05-03T15:09:46Z,ADA,funding,Tích cực,5.2500
2026-05-03T15:09:49Z,AVAX,news,Hoàn toàn tích cực,9.7267
2026-05-03T15:09:49Z,AVAX,macro,Hoàn toàn tích cực,6.4900
2026-05-03T15:09:49Z,AVAX,social,Hoàn toàn tích cực,5.6100
2026-05-03T15:09:49Z,AVAX,funding,Hoàn toàn tích cực,4.9600
2026-05-03T15:09:51Z,SUI,news,Tích cực,7.7667
2026-05-03T15:09:51Z,SUI,macro,Tích cực,6.4900
2026-05-03T15:09:51Z,SUI,social,Tích cực,5.6100
2026-05-03T15:09:51Z,SUI,funding,Tích cực,5.2200
2026-05-03T15:09:53Z,ZK,news,Hoàn toàn tích cực,9.2400
2026-05-03T15:09:53Z,ZK,macro,Hoàn toàn tích cực,6.4900
2026-05-03T15:09:53Z,ZK,social,Hoàn toàn tích cực,4.9300
2026-05-03T15:09:53Z,ZK,funding,Hoàn toàn tích cực,5.1000
2026-05-03T15:09:55Z,LINK,news,Tích cực,6.4244
2026-05-03T15:09:55Z,LINK,macro,Tích cực,6.4900
2026-05-03T15:09:55Z,LINK,social,Tích cực,5.6100
2026-05-03T15:09:55Z,LINK,funding,Tích cực,5.2500
2026-05-03T15:09:58Z,WLFI,news,Tích cực,7.0925
2026-05-03T15:09:58Z,WLFI,macro,Tích cực,6.4900
2026-05-03T15:09:58Z,WLFI,social,Tích cực,5.6100
2026-05-03T15:09:58Z,WLFI,funding,Tích cực,5.1200
2026-05-03T17:59:22Z,SUI,news,Tích cực,7.7667
2026-05-03T17:59:22Z,SUI,macro,Tích cực,6.4900
2026-05-03T17:59:22Z,SUI,social,Tích cực,5.5000
2026-05-03T17:59:22Z,SUI,funding,Tích cực,5.2500
2026-05-03T17:59:24Z,SUI,news,Tích cực,7.7667
2026-05-03T17:59:24Z,SUI,macro,Tích cực,6.4900
2026-05-03T17:59:24Z,SUI,social,Tích cực,5.5000
2026-05-03T17:59:24Z,SUI,funding,Tích cực,5.2500
2026-05-03T17:59:26Z,TAO,news,Hoàn toàn tích cực,9.7200
2026-05-03T17:59:26Z,TAO,macro,Hoàn toàn tích cực,6.4900
2026-05-03T17:59:26Z,TAO,social,Hoàn toàn tích cực,5.5000
2026-05-03T17:59:26Z,TAO,funding,Hoàn toàn tích cực,4.9800
2026-05-03T19:01:30Z,TAO,news,Hoàn toàn tích cực,9.7200
2026-05-03T19:01:30Z,TAO,macro,Hoàn toàn tích cực,6.4900
2026-05-03T19:01:30Z,TAO,social,Hoàn toàn tích cực,5.4900
2026-05-03T19:01:30Z,TAO,funding,Hoàn toàn tích cực,4.9500
2026-05-03T19:02:37Z,AVAX,news,Hoàn toàn tích cực,9.7267
2026-05-03T19:02:37Z,AVAX,macro,Hoàn toàn tích cực,6.4900
2026-05-03T19:02:37Z,AVAX,social,Hoàn toàn tích cực,5.4900
2026-05-03T19:02:37Z,AVAX,funding,Hoàn toàn tích cực,5.0900
